"item","paragraph","mirativity","valence","noteworthiness","combination","label"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>Contrary to his expectations, the view is nicer than most similar views, and he finds it very pleasant.<br>He says, <q>What a view!</q>","positive","positive","positive","positive_positive_positive","A"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>Contrary to his expectations, the view is average compared to similar views, but he still finds it very pleasant.<br>He says, <q>What a view!</q>","positive","positive","negative","positive_positive_negative","B"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>Contrary to his expectations, the view is nicer than most similar views, but he still feels neutral about it.<br>He says, <q>What a view!</q>","positive","negative","positive","positive_negative_positive","C"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>Contrary to his expectations, the view is average compared to similar views, and he feels neutral about it.<br>He says, <q>What a view!</q>","positive","negative","negative","positive_negative_negative","D"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>In line with his expectations, the view is nicer than most similar views, and he finds it very pleasant.<br>He says, <q>What a view!</q>","negative","positive","positive","negative_positive_positive","E"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>In line with his expectations, the view is average compared to similar views, but he still finds it very pleasant.<br>He says, <q>What a view!</q>","negative","positive","negative","negative_positive_negative","F"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>In line with his expectations, the view is nicer than most similar views, but he still feels neutral about it.<br>He says, <q>What a view!</q>","negative","negative","positive","negative_negative_positive","G"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>In line with his expectations, the view is average compared to similar views, and he feels neutral about it.<br>He says, <q>What a view!</q>","negative","negative","negative","negative_negative_negative","H"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>To her surprise, the soup is more hearty than most similar soups, and she is very happy about it.<br>She says, <q>What a broth!</q>","positive","positive","positive","positive_positive_positive","A"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>To her surprise, the soup is typical compared to similar soups, but she is still very happy about it.<br>She says, <q>What a broth!</q>","positive","positive","negative","positive_positive_negative","B"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>To her surprise, the soup is more hearty than most similar soups, but she feels indifferent about it.<br>She says, <q>What a broth!</q>","positive","negative","positive","positive_negative_positive","C"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>To her surprise, the soup is typical compared to similar soups, and she feels indifferent about it.<br>She says, <q>What a broth!</q>","positive","negative","negative","positive_negative_negative","D"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>Unsurprisingly for her, the soup is more hearty than most similar soups, and she is very happy about it.<br>She says, <q>What a broth!</q>","negative","positive","positive","negative_positive_positive","E"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>Unsurprisingly for her, the soup is typical compared to similar soups, but she is still very happy about it.<br>She says, <q>What a broth!</q>","negative","positive","negative","negative_positive_negative","F"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>Unsurprisingly for her, the soup is more hearty than most similar soups, but she feels indifferent about it.<br>She says, <q>What a broth!</q>","negative","negative","positive","negative_negative_positive","G"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>Unsurprisingly for her, the soup is typical compared to similar soups, and she feels indifferent about it.<br>She says, <q>What a broth!</q>","negative","negative","negative","negative_negative_negative","H"
"item11","Luisa goes to the market.<br>She explores the market.<br>Contrary to her expectations, the market is more lively than most similar markets, and she finds it very pleasant.<br>She says, <q>What a market!</q>","positive","positive","positive","positive_positive_positive","A"
"item11","Luisa goes to the market.<br>She explores the market.<br>Contrary to her expectations, the market is typical compared to similar markets, but she still finds it very pleasant.<br>She says, <q>What a market!</q>","positive","positive","negative","positive_positive_negative","B"
"item11","Luisa goes to the market.<br>She explores the market.<br>Contrary to her expectations, the market is more lively than most similar markets, but she feels indifferent about it.<br>She says, <q>What a market!</q>","positive","negative","positive","positive_negative_positive","C"
